,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LINC01602,149.751550448229,3.39554210265388,0.299543067939164,11.3357392177859,8.7291924693229e-30,1.97535806119131e-27
SEC24B-AS1,282.2877427881,1.85950057386331,0.164607114733373,11.2965990375039,1.36398618919128e-29,3.04599652670453e-27
FFAR2,49406.8215835467,2.27662684746109,0.202251027206616,11.2564414574534,2.15277227554989e-29,4.74504559228997e-27
TNFSF14,6828.07700910427,-1.88211569231516,0.167332090007929,-11.2477869141895,2.37475863064296e-29,5.16723121529133e-27
FOSL1,2491.69841924894,3.6916304221817,0.328586934908309,11.2348667277713,2.74908376119014e-29,5.90600627783785e-27
SOD2,183589.552060456,1.70141597467208,0.151642095659102,11.2199450111593,3.25472763153331e-29,6.90490467029791e-27
LRG1,15172.721043659,2.32561414628306,0.207753770470908,11.1940887571459,4.3586041788775996e-29,9.132621002951929e-27
PSD,235.307307663061,3.65096283075796,0.326205778034819,11.1922077308154,4.45208239344269e-29,9.21472468067187e-27
LOC101929524,90.312535226531,3.4849570631886,0.313797779540288,11.1057416285547,1.1763668432554e-28,2.40545759803984e-26
LINC00927,102.723435750586,2.4192844324568,0.218305402381708,11.0821097694443,1.53218942054458e-28,3.09575224350983e-26
DLGAP1-AS2,992.636325850419,1.84289269076464,0.166367715245973,11.0772254583165,1.61809281286961e-28,3.2308554376497596e-26
LOC101928700,168.609684910039,3.73048189188536,0.337843703532277,11.0420346831444,2.39546419217537e-28,4.7274207290233e-26
BTG2,112132.688700058,2.42371626726904,0.219621334578648,11.0358871642367,2.56507407431977e-28,5.0039582976270297e-26
LINC00211,1308.41560208556,1.64602807618687,0.149353608350804,11.0210131135276,3.02633544843222e-28,5.83670059440814e-26
LOC101928674,412.312469082661,3.59068316724798,0.326088818073893,11.0113655183181,3.36858944083563e-28,6.42378651571487e-26
LOC101927780,624.864085803896,2.90145920975777,0.265231025893872,10.9393657849016,7.4720768174795e-28,1.40906764162513e-25
BCL2L15,843.010032633657,1.27351816452315,0.116428963056751,10.9381560316946,7.57243742350065e-28,1.4123011862819e-25
G0S2,115886.484809854,3.29597616621242,0.302487311631761,10.8962460224607,1.20111096449055e-27,2.2157886184058302e-25
KIAA1614,495.875590014106,1.61304931511292,0.148063284872377,10.89432344084,1.22674903745255e-27,2.23875103910158e-25
LOC100507144,152.389459728415,5.51057091589584,0.508619072515481,10.8343772651745,2.36569491413403e-27,4.2713376683705e-25
HCP5,8187.03740249456,1.66140048404148,0.154065732293126,10.7837119865207,4.10959866764136e-27,7.341906167074661e-25
PDE6A,608.506264765756,1.50531343621012,0.139810406860589,10.7668196524965,4.93763539141039e-27,8.729327902397611e-25
CCBE1,645.661135079952,1.78402072270127,0.166217833606629,10.7330283639921,7.12230598068126e-27,1.2461832691146601e-24
LINC01105,323.207381995043,1.41738640766275,0.132156650674932,10.7250478914536,7.76468403916116e-27,1.34471650523105e-24
LOC100506801,414.237563562101,1.8406040092107,0.171731521823831,10.7179159053797,8.38718822245935e-27,1.43785210617758e-24
PLSCR2,81.8044717956327,3.98848773538951,0.372260238656517,10.7142458990085,8.72655059730187e-27,1.4810701673740701e-24
ZNF501,270.294746818415,1.79172753881903,0.167955766590389,10.6678536569018,1.43912228006547e-26,2.41829537992783e-24
RHOH,6551.03110217803,5.7853771906161,0.542398241052407,10.6662904720908,1.46353110194828e-26,2.43520096688885e-24
CXCL3,323.392348988498,4.55949555081027,0.428448328288651,10.6418796614804,1.90252023969637e-26,3.1349100493327e-24
ATP8B1,241.734701688875,1.88510364186754,0.177878585728056,10.597698616457,3.05403109713065e-26,4.98394382504821e-24
MPV17L,248.511709574343,2.2614108867428,0.213650444773237,10.5846299039677,3.51165738822818e-26,5.67617611361988e-24
KCNJ2-AS1,778.629589057591,2.45559093883748,0.234746249948875,10.4606183884611,1.30997897685023e-25,2.07784702757964e-23
