,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FRMD6-AS1,537.382610064658,0.844716070527619,0.140062188919211,6.03100720505558,1.6294092212632602e-09,1.49996171090734e-07
ICAM4,4035.6653661338,3.69692435298787,0.614111379814506,6.01995741245593,1.74462966864353e-09,1.59617559806632e-07
LOC100130331,425.314190418488,1.6232854831476,0.270698003859653,5.99666587858998,2.01409864235177e-09,1.83147884471902e-07
RGS1,944.1680258094,-2.24600861712634,0.375133273029163,-5.98722848280039,2.13446843043713e-09,1.90606752713227e-07
FOSL1,2491.69841924894,1.98863701245823,0.332141737705388,5.98731441039839,2.13334148075514e-09,1.90606752713227e-07
CCNL1,28512.2386906828,1.1275603411871,0.188288249574017,5.98847959837159,2.1181170166771304e-09,1.90606752713227e-07
LCP2,71744.445308,1.20414674221024,0.201533936149208,5.97490807363943,2.3021996302128302e-09,2.04361327889071e-07
CXCR4,29319.7676069598,-2.33403237409769,0.390841251420476,-5.97181685816138,2.3462583414241202e-09,2.07039944648863e-07
ZNF276,4433.49384848368,1.55753064214825,0.261529454694813,5.95546931402349,2.5932655660299603e-09,2.27490408154146e-07
NEAT1,36956.7423779403,1.46604590773545,0.246727726965756,5.94195847286725,2.81636775975017e-09,2.45616914626633e-07
ACTN1-AS1,42.5329776459701,2.56343856009112,0.432092457974599,5.93261583899668,2.9814589309184403e-09,2.5850288974876e-07
LOC105747689,4229.77204005232,1.53662836155664,0.259475754339144,5.92204988658869,3.17953132991445e-09,2.74082952156152e-07
MIR222,32.0778995123235,6.72869853414407,1.13725926233296,5.91659154337497,3.2868157220035104e-09,2.81702775070335e-07
PRNP,696.172455018758,1.84896974565931,0.312595993293563,5.91488625998774,3.3210499695573e-09,2.83010389691474e-07
CASS4,43649.1333850092,2.22168498755893,0.376971425871862,5.89351031691751,3.78076484010248e-09,3.20281650258266e-07
LPP-AS2,181.915401495322,1.74576126939393,0.296262697101465,5.89261249044809,3.80137142732603e-09,3.20281650258266e-07
TNNI2,412.6965931056,-1.39653823944844,0.237576315101562,-5.87827216215314,4.14570908448257e-09,3.45390835625076e-07
PDSS1,222.706854805775,2.90815865577271,0.494912520193055,5.87610645743675,4.2002826577902e-09,3.47993418197918e-07
TARP,696.593134609507,3.67880912769633,0.629525328344627,5.84378254862273,5.102863054743271e-09,4.20436446051858e-07
PPP1R15A,144358.502997098,1.4366197839195,0.246012189961133,5.83962845152698,5.2317366222046806e-09,4.28686199159002e-07
KCNE3,2783.05977107013,-1.88633708022252,0.323598348258739,-5.82925435303602,5.5675587282137805e-09,4.53710400622143e-07
CSNK1A1L,205.368922897205,1.3495936518035,0.23168968173688,5.82500541968968,5.71107463703832e-09,4.62876391642133e-07
LOC284395,43.1477559099115,2.55236560184529,0.438475595356203,5.82099808718391,5.849723920224461e-09,4.71550988228688e-07
