,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PLEKHF2,1967.4063817344,1.5437931524295,0.307605974626906,5.01873591467773,5.20125920678704e-07,3.46278475673282e-05
KCNJ5,661.546665852044,0.83161415284257,0.165769813804037,5.0166802613753,5.25719503075967e-07,3.46905086255393e-05
LOC101928886,38.1649711506585,3.3585916171868,0.669457642850967,5.01688441838356,5.25161393078741e-07,3.46905086255393e-05
TPRA1,212.089460439348,1.62290610575644,0.324598919949585,4.99972737435017,5.74114332247348e-07,3.7717035404426e-05
SLC7A5,6874.95123247746,1.79666246843686,0.359650999167038,4.99557202009166,5.86616260500815e-07,3.83459149730815e-05
BTG3,64.7590821831204,2.04602370548721,0.409627042722182,4.99484529119545,5.88829513098348e-07,3.83459149730815e-05
FOSL1,2491.69841924894,1.65651549310551,0.33221688992098,4.98624706738877,6.15634096798184e-07,3.99171795023971e-05
SPATC1,43.7250503131051,2.34598103887517,0.472454926927539,4.96551290962615,6.8519734596506e-07,4.42352728154846e-05
SERPINB9P1,167.1320532724,1.27729112937667,0.257911605764309,4.95243758260305,7.32895682659322e-07,4.71106608426658e-05
PTCH2,118.645586452846,1.58485704042468,0.321198745049897,4.93419437295274,8.04822608600695e-07,5.12919639404366e-05
TPRG1-AS1,100.214389179358,1.45262452681161,0.294682608539987,4.9294545545415,8.24595138424402e-07,5.23284565928643e-05
