,UT_1,UT_2,UT_3,UT_5,UT_6,GMCSF_1,GMCSF_2,GMCSF_4,TNF_1,TNF_2,TNF_4,GMT_1,GMT_2,GMT_3
SFN,124.967443067861,161.333136762319,292.981198630037,411.360513518034,124.967443067861,155.678335986172,295.105401887197,417.850564028894,238.105412340257,411.170348694921,513.176715956025,474.882591797209,433.158184544861,351.178522770497
CCDC39,36.6967888373878,35.1241884464089,18.780846066028,11.5251868011518,36.6967888373878,22.2397622837388,11.5163083663297,9.12780358315546,19.0933585367187,10.5729518235837,8.48225976786818,7.65939664189047,15.4699351623165,3.26677695600462
MIR7848,58.5165011190778,67.2717507532917,68.8631022421026,72.6973321303421,58.5165011190778,21.0692484793315,60.4606189232307,23.3266091569528,21.3396360116268,55.2143039676037,30.5361351643254,5.10626442792698,8.83996294989512,24.5008271700347
HDC,106.123146097311,15.4784559255361,15.0246768528224,125.890501981812,106.123146097311,51.5026073939214,12.9558469121209,81.1360318502707,73.0040179345127,18.7963587974821,109.421151005499,82.5512749181528,20.9949120060009,24.5008271700347
LINC00921,779.558811518562,769.160194453565,1164.41245609374,1059.43063287511,779.558811518562,4006.6687524862,1931.8607284518,1705.88506965194,894.018435013417,1017.35291991372,1038.22859558706,3370.98556650313,2687.34873676812,1661.15608212835
LRPPRC,258.861132069141,311.950419422344,141.482373697411,118.798079334949,258.861132069141,241.125843707905,136.756161850165,129.817650960433,279.661545626056,182.089725850608,126.385670541236,156.592109123094,406.085798010807,178.039344102252
CELF3,37.688593941101,26.7896352557356,63.8548766244952,30.1427962491663,37.688593941101,22.2397622837388,27.3512323700329,19.2698075644393,52.78752066034,43.4665797191774,21.2056494196704,16.1698373551021,13.2599444248427,27.7676041260393
LOC101928093,222.164343231753,98.228662604364,48.8301997716728,118.798079334949,222.164343231753,142.802684137691,27.3512323700329,66.9372262764733,169.59394935556,42.2918072943348,83.1261457251081,56.1689087071967,58.0122568586867,40.8347119500578
SIAH3,3.96722041485273,11.9065045581047,13.7726204484205,17.7310566171566,3.96722041485273,49.1615797851068,23.0326167326593,36.5112143326218,11.2313873745404,27.0197657713805,15.2680675821627,80.8491867755105,63.5372337023711,17.9672732580254
CISD3,13.8852714519846,24.4083343441147,18.780846066028,15.957950955441,13.8852714519846,4.68205521762922,25.9116938242417,11.1562043794122,11.2313873745404,32.8936278955937,16.1162935589495,58.7220409211602,34.2548564308436,49.0016543400693
LYPD3,6.94263572599229,44.0540668649875,32.5534665144485,111.705656688087,6.94263572599229,14.0461656528877,21.5930781868681,91.2780358315546,101.082486370864,341.858775629206,877.913885974356,30.6375865675619,93.9246063426356,217.240667574307
CASZ1,480.033670197181,632.235392035361,529.619859061989,486.717504140949,480.033670197181,492.786311655475,408.828947004703,522.313205036118,427.91585896999,532.171908453712,519.962523770319,461.26588665607,601.117480592868,472.049270142668
SERPINB12,27.7705429039691,24.4083343441147,18.780846066028,17.7310566171566,27.7705429039691,30.4333589145899,24.4721552784505,27.3834107494664,21.3396360116268,31.7188554707511,25.4467793036045,25.5313221396349,23.7574004278431,29.4009926040416
MEST,9.91805103713184,7.73922796276807,11.2685076396168,21.2772679405879,9.91805103713184,7.02308282644383,1.43953854579121,15.2130059719258,15.7239423243566,1.17477242484263,11.8751636750154,11.0635729271751,12.7074467404742,1.63338847800231
ODF3B,675.419275628678,1017.41081449005,1001.64512352149,1909.63479766777,675.419275628678,1643.40138138786,1489.9223948939,2482.76257461828,785.073977480375,1033.79973386152,2580.3034213855,2642.49184145221,1686.22293269249,2049.9025398929
LOC101927051,8.92624593341865,9.52520364648378,6.26028202200933,7.97897547772048,8.92624593341865,2.34102760881461,4.31861563737362,15.2130059719258,11.2313873745404,15.2720415229542,22.0538753964573,10.212528855854,10.4974560030005,6.53355391200924
FRG1JP,101.164120578745,94.6567112369325,85.1398354993269,71.8107792994843,101.164120578745,110.028297614287,83.49323565589,88.2354346371694,102.205625108318,90.4574767128827,66.1616261893718,63.8283053490872,113.8145229799,94.736531724134
SMIM13,114.057586927016,86.9174832741645,86.3918919037287,53.1931698514699,114.057586927016,98.3231595702136,71.9769272895603,30.4260119438515,81.989127834145,55.2143039676037,36.4737170018332,33.1907187815253,49.72479159316,55.5352082520786
RGS1,3570.49837336746,666.764255253864,63.8548766244952,1173.79594805577,3570.49837336746,477.56963219818,25.9116938242417,282.961911077819,1656.62963774471,75.1854351899285,571.704308354315,432.330388231151,600.012485224131,50.6350428180716
LINC01443,122.983832860435,157.761185394888,184.052291447074,216.318890729311,122.983832860435,170.895015443467,187.140010952857,195.740676838778,175.209643042831,252.576071341166,192.547296730608,271.483058751451,331.498610621067,429.581169714608
FLJ32255,832.124482015361,1000.7417081087,1431.10047023133,1195.07321599636,832.124482015361,4066.36495651098,5845.96603445809,4041.58858654161,728.917040607673,1083.14017570491,1187.51636750154,2549.7280376782,2785.6933245857,5413.04941609966
MIR29C,38.6803990448142,99.4193130601744,251.663337284775,170.218143524704,38.6803990448142,26.921817501368,79.1746200185164,85.1928334427842,60.6494918225183,407.646031420393,159.466483635922,52.7647324219121,34.2548564308436,62.0687621640878
TMEM53,73.3935776747756,119.065045581047,146.490599315018,200.36093977387,73.3935776747756,80.765452504104,156.909701491242,184.584472459366,148.254313343934,240.82834709274,224.779883848507,191.484916047262,329.841117567962,555.352082520786
FAM65C,52.5656704967987,79.1782553113964,76.3754406685138,130.323266136101,52.5656704967987,197.816832944835,201.535396410769,165.314664894927,83.1122665715991,108.079063085522,94.1530834233367,68.9345697770142,111.052034558057,161.705459322229
LGSN,32.7295684225351,98.228662604364,87.6439483081306,65.6049094834795,32.7295684225351,55.0141488071433,122.360776392253,83.1644326465275,71.8808791970587,106.90429066068,97.545987330484,108.933641129109,122.101988245426,184.572898014261
MIR3605,6.94263572599229,5.95325227905236,40.0658049408597,5.31931698514699,6.94263572599229,2.34102760881461,30.2303094616153,0.0,1.12313873745404,4.69908969937053,4.24112988393409,0.851044071321163,0.0,4.90016543400693
LOC101928069,12.8934663482714,14.8831306976309,15.0246768528224,21.2772679405879,12.8934663482714,21.0692484793315,14.3953854579121,35.4970139344934,20.2164972741728,17.6215863726395,14.4198416053759,29.7865424962407,45.3048101182125,31.0343810820439
MAP6D1,26.778737800256,17.2644316092518,33.8055229188504,34.5755604034554,26.778737800256,16.3871932617023,33.1093865531978,34.4828135363651,24.7090522239889,36.4179451701216,44.9559767697013,28.0844543535984,13.2599444248427,45.7348773840647
MIR497HG,0.991805103713184,10.120528874389,11.2685076396168,7.09242264686265,0.991805103713184,44.4795245674776,27.3512323700329,54.7668214989327,19.0933585367187,23.4954484968526,29.6879091875386,167.655682050269,93.3721086582672,75.1358699881063
SHCBP1,48.598450081946,36.9101641301246,71.3672150509064,68.264567976053,48.598450081946,43.3090107630703,87.8118512932636,77.0792302577572,39.3098558108915,72.8358903402432,59.3758183750772,53.6157764932333,49.1722939087916,88.2029778121248
CAMK2N2,0.0,1.19065045581047,0.0,0.0,0.0,7.02308282644383,4.31861563737362,4.05680159251354,0.0,0.0,1.69645195357363,5.95730849924814,3.31498610621067,6.53355391200924
TRIM28,2098.6595994571,2696.22795718281,2113.47121063035,2737.67514168898,2098.6595994571,2466.27258588619,2347.88736818546,2247.4680822525,2059.83644449071,1864.36383822526,2384.36322074774,2687.59717723223,2158.60845282751,1845.72898014261
GBAT2,0.991805103713184,4.16727659533665,7.5123384264112,2.65965849257349,0.991805103713184,2.34102760881461,1.43953854579121,4.05680159251354,22.4627747490808,16.4468139477969,16.9645195357364,17.0208814264233,14.917437477948,3.26677695600462
